user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
Poeta0Grados,El Villy,1121202157053779968,2019-04-24 23:59:59,/Poeta0Grados/status/1121202157053779968,0,0,0,Lo hacen adrede porque saben que vamos a votar XOX,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Lo hacen adrede porque saben que vamos a <strong>votar</strong> XOX</p>"
Mariano08103491,@soyla9,1121202156747595776,2019-04-24 23:59:59,/Mariano08103491/status/1121202156747595776,0,0,0,Este bobo no entiende que el problema es http://el.si  unidad ciudadana se reune con bossio .voto ala izquierda,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Este bobo no entiende que el problema es <a class=""twitter-timeline-link"" data-expanded-url=""http://el.si"" dir=""ltr"" href=""https://t.co/gxG8Xh1M10"" rel=""nofollow noopener"" target=""_blank"" title=""http://el.si""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">el.si</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> unidad ciudadana se reune con bossio .<strong>voto</strong> ala izquierda</p>"
jacielcosta,@jaciel costa,1121202156491689984,2019-04-24 23:59:59,/jacielcosta/status/1121202156491689984,2,0,0,Votei em vc é sempre vou votar! O Brasil precisa de pessoas dedicadas como vc!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Votei em vc é sempre vou <strong>votar</strong>! O Brasil precisa de pessoas dedicadas como vc!</p>"
LOPEESMIGO,+A,1121202151097884676,2019-04-24 23:59:58,/LOPEESMIGO/status/1121202151097884676,0,0,0,Skam españa cadê episódio ?????,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Skam <strong>españa</strong> cadê episódio ?????</p>"
BoffilYanet,Yanet Fernández Boffil.,1121202149625610241,2019-04-24 23:59:58,/BoffilYanet/status/1121202149625610241,1,0,0,"Se desarrolló en nuestra Capital el XXI Congreso de la máxima cita de los trabajadores CUBANOS. Previo al 1 de MAYO. 
Donde se reafirmó cada día más el compromiso de defender a nuestra REVOLUCIÓN
TODOS A LA PLAZA. pic.twitter.com/nChhfChoLo","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Se desarrolló en nuestra Capital el XXI <strong>Congreso</strong> de la máxima cita de los trabajadores CUBANOS. Previo al 1 de MAYO. 
Donde se reafirmó cada día más el compromiso de defender a nuestra REVOLUCIÓN
TODOS A LA PLAZA. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/nChhfChoLo"">pic.twitter.com/nChhfChoLo</a></p>"
YadiraDavalos4,Yadira Davalos 4,1121202146081427456,2019-04-24 23:59:57,/YadiraDavalos4/status/1121202146081427456,0,0,0,"Hola @videorolavr voto x #Sorry de
@impactosin para #LasGruperronas @anvalmusic
@grecia_anchondo @UnidosClubs
@lasrebeldesdei1","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Hola <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89755643"" dir=""ltr"" href=""/videorolavr""><s>@</s><b>videorolavr</b></a> <strong>voto</strong> x <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sorry?src=hash""><s>#</s><b>Sorry</b></a> de
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3229934364"" dir=""ltr"" href=""/impactosin""><s>@</s><b>impactosin</b></a> para <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LasGruperronas?src=hash""><s>#</s><b>LasGruperronas</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""226269982"" dir=""ltr"" href=""/anvalmusic""><s>@</s><b>anvalmusic</b></a>
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3168214855"" dir=""ltr"" href=""/grecia_anchondo""><s>@</s><b>grecia_anchondo</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1091150575155245056"" dir=""ltr"" href=""/UnidosClubs""><s>@</s><b>UnidosClubs</b></a>
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1017764992836296705"" dir=""ltr"" href=""/lasrebeldesdei1""><s>@</s><b>lasrebeldesdei1</b></a></p>"
grvmgrvm,rvmg,1121202143988523009,2019-04-24 23:59:56,/grvmgrvm/status/1121202143988523009,0,0,0,"Exacto! Si quiere ir a votar que vaya él solo, que use su primer nombre ese le hace daño!!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Exacto! Si quiere ir a <strong>votar</strong> que vaya él solo, que use su primer nombre ese le hace daño!!</p>"
julianramos_01,Culián,1121202142541434887,2019-04-24 23:59:56,/julianramos_01/status/1121202142541434887,35,1,39,"Es como que me tienen harto las encuestas de ig,pero no puedo no votar lpm","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Es como que me tienen harto las encuestas de ig,pero no puedo no <strong>votar</strong> lpm</p>"
Present31707030,Presente,1121202142075936768,2019-04-24 23:59:56,/Present31707030/status/1121202142075936768,9,0,1,"Teneis que intensificar el boca a boca, las redes sociales etc..  ¡No nos van a parar, no vamos a parar principalmente porque no queremos parar y como dice el compatriota estamos hasta los webos de tanto progre vividor del cuento! Esto ya no da mas desi y es hora d vox y d España","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Teneis que intensificar el boca a boca, las redes sociales etc..  ¡No nos van a parar, no vamos a parar principalmente porque no queremos parar y como dice el compatriota estamos hasta los webos de tanto progre vividor del cuento! Esto ya no da mas desi y es hora d vox y d <strong>España</strong></p>"
NoVotoProChorro,Gabriela,1121202139475451906,2019-04-24 23:59:55,/NoVotoProChorro/status/1121202139475451906,1,1,0,"Es más.. el dedazo de  Cristina a Scioli, lo mató. Yo no se si los masistas, votarian a Lavagna. Estimo que no.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Es más.. el dedazo de  Cristina a Scioli, lo mató. Yo no se si los masistas, votarian a Lavagna. Estimo que no.</p>"
